Site,Sample,Aperture
KM1057,206,19.07
KM1057,206,26.42
KM1057,206,26.08
KM1057,206,26.05
KM1057,206,25.36
KM1057,206,25.32
KM1057,206,25.22
KM1057,206,25.21
KM1057,206,24.88
KM1057,206,24.71
KM1057,206,24.66
KM1057,206,24.56
KM1057,206,24.51
KM1057,206,24.5
KM1057,206,24.43
KM1057,206,24.37
KM1057,206,24.28
KM1057,206,24.28
KM1057,206,24.21
KM1057,206,24.17
KM1057,206,24.17
KM1057,206,24.12
KM1057,206,24.07
KM1057,206,23.85
KM1057,206,23.66
KM1057,206,23.61
KM1057,206,23.61
KM1057,206,23.57
KM1057,206,23.54
KM1057,206,23.54
KM1057,206,23.52
KM1057,206,23.47
KM1057,206,23.44
KM1057,206,23.44
KM1057,206,23.23
KM1057,206,23.23
KM1057,206,23.21
KM1057,206,23.19
KM1057,206,23.19
KM1057,206,23.15
KM1057,206,23.1
KM1057,206,23.07
KM1057,206,23.05
KM1057,206,23.02
KM1057,206,22.95
KM1057,206,22.87
KM1057,206,22.86
KM1057,206,22.82
KM1057,206,22.81
KM1057,206,22.76
KM1057,206,22.67
KM1057,206,22.66
KM1057,206,22.64
KM1057,206,22.58
KM1057,206,22.56
KM1057,206,22.5
KM1057,206,22.47
KM1057,206,22.46
KM1057,206,22.45
KM1057,206,22.42
KM1057,206,22.4
KM1057,206,22.33
KM1057,206,22.28
KM1057,206,22.27
KM1057,206,22.19
KM1057,206,22.19
KM1057,206,22.18
KM1057,206,22.14
KM1057,206,22.14
KM1057,206,22.12
KM1057,206,22.07
KM1057,206,22.03
KM1057,206,22.03
KM1057,206,22.02
KM1057,206,22
KM1057,206,22
KM1057,206,21.99
KM1057,206,21.95
KM1057,206,21.92
KM1057,206,21.83
KM1057,206,21.82
KM1057,206,21.77
